RAJ2000,DEJ2000,Teff
05 34 47.85,-04 51 55.16,5541.305
05 34 47.89,-05 30 46.57,3378.45
05 34 47.91,-05 35 43.83,3200.844
05 34 47.95,-05 04 55.01,3548.721
05 34 48.05,-04 14 55.35,3391.494
05 34 48.23,-04 47 40.12,3534.978
05 34 48.28,-05 32 35.13,3177.173
05 34 48.31,-05 37 22.82,3975.15
05 34 48.31,-05 51 59.32,5066.373
05 34 48.34,-06 30 26.90,3470.875
05 34 48.47,-05 41 58.20,4267.187
05 34 48.48,-05 42 28.12,3540.817
05 34 48.54,-04 49 56.80,3364.323
05 34 48.63,-04 47 49.99,3249.34
05 34 48.74,-06 11 42.71,3324.862
05 34 48.77,-05 19 07.36,3349.456
05 34 48.79,-05 17 46.44,3259.407
05 34 48.83,-05 23 17.95,3426.447
05 34 48.96,-05 28 16.89,3356.094
05 34 48.97,-06 07 44.98,3459.01
05 34 49.08,-05 26 26.62,3190.432
05 34 49.10,-05 46 05.00,3348.534
05 34 49.12,-06 00 22.89,6999.647
05 34 49.30,-05 18 55.50,3459.521
05 34 49.41,-04 41 32.97,5805.893
05 34 49.57,-05 29 03.39,3388.196
05 34 49.79,-06 11 38.25,6692.877
05 34 49.96,-06 28 12.06,3828.834
05 34 50.09,-05 17 12.19,3119.889
05 34 50.30,-06 26 48.41,3460.515
05 34 50.44,-05 20 20.35,4208.214
05 34 50.50,-05 11 10.56,3746.392
05 34 50.50,-05 23 35.36,3541.058
05 34 50.71,-05 24 01.42,4472.536
05 34 50.72,-04 58 36.82,3600.982
05 34 50.73,-05 27 01.07,3887.487
05 34 50.86,-05 29 25.10,3250.74
05 34 50.87,-05 39 29.23,3280.476
05 34 50.96,-05 42 21.36,4434.021
05 34 50.99,-05 17 56.53,3171.179
05 34 51.06,-04 43 41.43,4312.5
05 34 51.21,-05 16 54.92,3439.009
05 34 51.25,-05 46 56.45,5086.352
05 34 51.29,-04 47 57.08,4180.947
05 34 51.40,-04 37 52.22,5642.675
05 34 51.41,-05 00 11.36,3276.794
05 34 51.43,-05 13 29.52,3250.707
05 34 51.56,-05 25 13.00,3972.654
05 34 51.75,-05 39 24.12,3397.104
05 34 52.02,-05 24 18.80,3370.476
05 34 52.03,-04 55 01.30,3433.147
05 34 52.03,-05 24 42.96,3384.363
05 34 52.06,-06 03 20.69,3671.538
05 34 52.13,-05 40 57.04,3025.118
05 34 52.16,-05 22 31.95,3470.619
05 34 52.21,-04 40 11.77,5261.786
05 34 52.22,-04 28 16.15,3535.255
05 34 52.26,-05 12 03.20,3397.476
05 34 52.34,-05 30 08.01,3162.916
05 34 52.40,-06 11 57.05,3489.197
05 34 52.49,-04 49 40.48,3419.012
05 34 52.60,-05 15 36.63,3936.198
05 34 52.59,-05 24 03.78,3539.126
05 34 52.66,-05 29 45.25,3344.286
05 34 52.76,-05 27 54.58,3976.906
05 34 52.76,-05 00 50.91,3234.675
05 34 52.92,-05 28 59.12,3256.198
05 34 52.93,-06 48 33.58,3377.477
05 34 53.02,-04 48 10.44,5213.286
05 34 53.04,-05 03 27.12,3695.406
05 34 53.43,-05 10 27.91,3203.031
05 34 53.58,-04 21 18.03,3492.611
05 34 53.60,-05 26 37.16,5984.985
05 34 53.87,-04 56 22.21,3823.0
05 34 53.93,-04 23 09.50,4116.098
05 34 53.96,-04 06 37.63,6999.306
05 34 54.05,-06 23 50.70,3481.005
05 34 54.19,-05 28 54.32,3836.058
05 34 54.25,-05 21 35.39,3434.557
05 34 54.29,-06 05 50.21,3636.948
05 34 54.32,-04 54 12.98,3544.32
05 34 54.40,-05 17 21.14,3124.763
05 34 54.40,-06 02 02.05,6187.381
05 34 54.66,-05 40 58.25,3496.607
05 34 54.83,-05 25 12.55,3050.075
05 34 54.91,-05 46 43.93,4321.033
05 34 54.94,-05 17 01.79,3956.189
05 34 55.06,-05 25 29.49,3371.545
