2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03465007+3048327,*,56.70862579,30.80911064,0,8230.0,4.46,2MASS J03465007+3048327
2M03465053+2314211,*,56.71057129,23.23919487,0,6680.0,5.16,2MASS J03465053+2314211
2M03465115+3238494,*,56.71312332,32.64705658,0,4360.0,3.15,2MASS J03465115+3238494
2M03465204+2507364,*,56.71687317,25.12680054,0,7170.0,3.54,2MASS J03465204+2507364
2M03465259+2338433,*,56.71915817,23.64538193,3,3080.0,5.27,2MASS J03465259+2338433
2M03465294+3252342,*,56.7206192,32.87619019,0,5310.0,5.32,2MASS J03465294+3252342
2M03465326+2252513,*,56.72192001,22.8809433,3,5370.0,5.19,2MASS J03465326+2252513
2M03465360+2417151,*,56.72335434,24.2875309,3,3270.0,5.45,2MASS J03465360+2417151
2M03465373+2335009,*,56.72391129,23.58359909,3,5960.0,5.24,2MASS J03465373+2335009
2M03465403+2514449,*,56.72512817,25.24582481,3,3930.0,5.39,2MASS J03465403+2514449
2M03465483+3056215,*,56.72846985,30.93932724,0,4030.0,2.4,2MASS J03465483+3056215
2M03465491+2447468,*,56.72882843,24.79634857,3,5960.0,5.24,2MASS J03465491+2447468
2M03465498+3221148,*,56.72908783,32.35411835,0,5350.0,3.95,2MASS J03465498+3221148
2M03465709+2315025,*,56.73788834,23.25070763,3,4050.0,5.18,2MASS J03465709+2315025
2M03465739+3249173,*,56.7391243,32.82149887,3,2950.0,4.5,2MASS J03465739+3249173
2M03465851+3246588,*,56.74383163,32.7830162,3,3240.0,4.57,2MASS J03465851+3246588
2M03465853+2427401,*,56.7439003,24.4611454,3,3160.0,5.25,2MASS J03465853+2427401
2M03465892+3150061,*,56.74550247,31.83504105,0,5890.0,5.38,2MASS J03465892+3150061
2M03465931+2401429,*,56.74712753,24.02859306,3,3060.0,5.12,2MASS J03465931+2401429
2M03465940+2431124,*,56.74751663,24.52011681,0,14800.0,4.52,2MASS J03465940+2431124
2M03470122+3234282,*,56.75509644,32.57450485,0,6240.0,4.63,2MASS J03470122+3234282
2M03470141+2329419,*,56.75590897,23.49498367,3,5420.0,5.2,2MASS J03470141+2329419
2M03470171+3215403,*,56.75712585,32.2612114,0,6580.0,5.06,2MASS J03470171+3215403
2M03470354+2449117,*,56.76478195,24.81993294,0,6610.0,4.36,2MASS J03470354+2449117
2M03470358+2409349,*,56.76492691,24.15971184,3,4310.0,4.78,2MASS J03470358+2409349
