2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName,coords
2M05505450+0804209,*,87.72708893,8.0724926,0,5290.0,3.86,2MASS J05505450+0804209,05h50m54.5013s +08d04m20.9734s
2M05505498-0000579,*,87.72912598,-0.016084,0,5340.0,4.05,2MASS J05505498-0000579,05h50m54.9902s -00d00m57.9024s
2M05505578+0100230,*,87.73244476,1.00638902,0,5850.0,4.74,2MASS J05505578+0100230,05h50m55.7867s +01d00m23.0005s
2M05505727+0836244,*,87.73863983,8.60678768,0,5520.0,3.98,2MASS J05505727+0836244,05h50m57.2736s +08d36m24.4356s
2M05505757+0818452,*,87.73989105,8.31257343,0,4470.0,3.33,2MASS J05505757+0818452,05h50m57.5739s +08d18m45.2643s
2M05505803-0038068,*,87.74182892,-0.63522798,0,5380.0,4.09,2MASS J05505803-0038068,05h50m58.0389s -00d38m06.8207s
2M05505881+0858260,*,87.74508667,8.97388935,0,5810.0,4.28,2MASS J05505881+0858260,05h50m58.8208s +08d58m26.0017s
2M05505886+0036327,*,87.74526978,0.60908699,0,5490.0,4.1,2MASS J05505886+0036327,05h50m58.8647s +00d36m32.7132s
2M05505909+0954439,*,87.74620819,9.91221905,0,5250.0,3.97,2MASS J05505909+0954439,05h50m59.09s +09d54m43.9886s
2M05505959+0108174,*,87.74832153,1.13817799,0,6000.0,4.87,2MASS J05505959+0108174,05h50m59.5972s +01d08m17.4408s
2M05505980+0024113,*,87.74917603,0.40315601,0,4170.0,2.77,2MASS J05505980+0024113,05h50m59.8022s +00d24m11.3616s
2M05510071+0846493,*,87.75299072,8.7803812,0,7130.0,4.31,2MASS J05510071+0846493,05h51m00.7178s +08d46m49.3723s
2M05510133+0007190,*,87.75558472,0.121964,0,5300.0,3.96,2MASS J05510133+0007190,05h51m01.3403s +00d07m19.0704s
2M05510219+0019184,*,87.75914764,0.321785,0,5430.0,3.97,2MASS J05510219+0019184,05h51m02.1954s +00d19m18.426s
2M05510270+0035314,*,87.76126862,0.59205699,0,5240.0,3.92,2MASS J05510270+0035314,05h51m02.7045s +00d35m31.4052s
2M05510304+0939064,*,87.76270294,9.65179443,0,5370.0,3.94,2MASS J05510304+0939064,05h51m03.0487s +09d39m06.4599s
2M05510596+0822345,*,87.77485657,8.37626171,2,3910.0,4.63,2MASS J05510596+0822345,05h51m05.9656s +08d22m34.5422s
2M05510630+0931445,*,87.77626038,9.52903271,0,5560.0,3.86,2MASS J05510630+0931445,05h51m06.3025s +09d31m44.5178s
2M05510695+0036587,*,87.77897644,0.61632097,0,5510.0,5.04,2MASS J05510695+0036587,05h51m06.9543s +00d36m58.7555s
2M05510709+0806261,*,87.7795639,8.10726261,0,10400.0,4.41,2MASS J05510709+0806261,05h51m07.0953s +08d06m26.1454s
2M05510762+0818330,*,87.78176117,8.30918407,0,6060.0,4.36,2MASS J05510762+0818330,05h51m07.6227s +08d18m33.0627s
2M05510986+0044148,*,87.79110718,0.737463,0,5440.0,3.92,2MASS J05510986+0044148,05h51m09.8657s +00d44m14.8668s
2M05510999+0846442,*,87.79164124,8.7789669,0,4170.0,5.12,2MASS J05510999+0846442,05h51m09.9939s +08d46m44.2808s
2M05511060+0908369,*,87.79418182,9.14360046,0,4790.0,3.62,2MASS J05511060+0908369,05h51m10.6036s +09d08m36.9617s
2M05511157+0902075,*,87.79821777,9.0354166,0,5500.0,4.2,2MASS J05511157+0902075,05h51m11.5723s +09d02m07.4998s
2M05511356+0035291,*,87.80652618,0.59144002,0,5370.0,3.96,2MASS J05511356+0035291,05h51m13.5663s +00d35m29.1841s
2M05511398+0043437,*,87.80826569,0.72882605,0,5540.0,4.65,2MASS J05511398+0043437,05h51m13.9838s +00d43m43.7738s
2M05511458-0035022,*,87.81078339,-0.58397198,0,5050.0,4.95,2MASS J05511458-0035022,05h51m14.588s -00d35m02.2991s
2M05511632+0850005,*,87.81803894,8.83347702,0,5420.0,4.35,2MASS J05511632+0850005,05h51m16.3293s +08d50m00.5173s
2M05511658+0038165,*,87.8190918,0.637918,0,5780.0,4.82,2MASS J05511658+0038165,05h51m16.582s +00d38m16.5048s
2M05511658+0039339,*,87.81908417,0.65944302,3,5390.0,5.05,2MASS J05511658+0039339,05h51m16.5802s +00d39m33.9949s
2M05511690+0819202,*,87.82041931,8.32230473,0,5290.0,3.85,2MASS J05511690+0819202,05h51m16.9006s +08d19m20.297s
2M05511766+0910585,*,87.82361603,9.18292904,0,5330.0,3.89,2MASS J05511766+0910585,05h51m17.6678s +09d10m58.5445s
2M05512221+0829186,*,87.84257507,8.48851395,0,15000.0,4.66,2MASS J05512221+0829186,05h51m22.218s +08d29m18.6502s
2M05512254+0820129,*,87.84394073,8.3369236,0,5810.0,4.4,2MASS J05512254+0820129,05h51m22.5458s +08d20m12.925s
2M05512538+0854505,*,87.8557663,8.91403866,0,5980.0,4.77,2MASS J05512538+0854505,05h51m25.3839s +08d54m50.5392s
2M05512575+0910384,*,87.85733032,9.17733574,0,5320.0,3.93,2MASS J05512575+0910384,05h51m25.7593s +09d10m38.4087s
