Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
48.0,05 41 30.37 -09 12 26.8,0.0,1.0,4040.0,5.09,0.138,2.0,4.464,0.026,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.0007,-10.0,0.237,-10.0,12.283,0.019,11.567,0.02,11.377,0.019,11.281,0.024,11.204,0.021,,,,,,,,,,,,,,,,,
52.0,05 34 13.47 -04 23 53.9,3.0,1.0,3500.0,4.35,0.599,1.0,4.265,0.037,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000645,-10.0,0.24,-10.0,,,,,,,12.096,0.024,11.952,0.022,,,,,,,,,,,,,,,,,
58.0,05 33 51.3 -04 51 47.7,0.0,1.0,6590.0,4.52,0.232,1.0,0.857,0.077,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00072,-10.0,6.622,-10.0,13.298,0.023,12.362,0.028,11.967,0.021,11.693,0.024,11.579,0.023,,,,,,,,,,,,,,,,,
65.0,05 36 50.78 -04 59 33.4,3.0,1.0,5860.0,5.1,0.0579,1.0,3.556,0.028,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000665,-10.0,0.355,-10.0,9.877,0.017,9.531,0.028,9.486,0.018,9.478,0.023,9.518,0.019,,,,,,,,,,,,,,,,,
66.0,05 34 21.59 -05 10 13.95,0.0,4.0,5490.0,,0.119,1.0,1.315,0.042,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00074,-10.0,2.891,-10.0,12.974,0.019,12.15,0.029,11.858,0.021,11.624,0.047,11.638,0.071,,,4.978,0.107,,,,,,,,,,,,,
94.0,05 35 04.76 -05 17 42.1,2.0,1.0,4390.0,4.45,0.441,1.0,0.409,0.359,K16,1.0,-10.0,0.00143,-0.0165,0.024,-0.148,0.018,0.001413,7e-05,,,11.525,0.021,10.099,0.03,9.339,0.019,8.177,0.025,7.699,0.025,,,,,8.24,0.01,7.83,0.01,7.52,0.01,7.09,0.05,,,-1.53,D,
96.0,05 35 06.08 -05 52 39.3,,,3700.0,,,,1.629,0.37,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00069,-10.0,1.756,-10.0,12.633,0.021,11.942,0.03,11.724,0.022,11.612,0.028,11.611,0.029,,,,,,,,,,,,,,,,,
107.0,05 35 20.22 -05 20 57.02*,,,,,,,3.982,0.765,,,,0.012,2.74,0.004,8.888,0.003,0.00792,7e-05,,,7.985,0.019,6.798,0.053,5.867,0.021,,,,,,,,,,,,,,,,,,,,,
116.0,05 35 30.913 -05 18 17.95,3.0,2.0,3690.0,4.0,0.449,1.0,1.869,0.115,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00111,-10.0,2.146,-10.0,11.571,0.019,10.771,0.03,10.408,0.019,9.692,0.035,9.758,0.062,,,,,,,,,,,,,,,,,
120.0,05 35 33.85 -05 48 21.1,,,4500.0,,,,1.272,0.125,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00075,-10.0,3.131,-10.0,14.304,0.027,13.319,0.037,12.898,0.028,12.802,0.038,12.909,0.063,,,,,,,,,,,,,,,,,
126.0,05 35 42.84 -05 51 36.8,0.0,1.0,6500.0,4.38,0.326,1.0,1.647,0.067,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00077,-10.0,1.917,-10.0,13.096,0.019,12.179,0.03,11.744,0.016,11.48,0.023,11.322,0.024,,,,,,,,,,,,,,,,,
