,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
19,23,05 35 54.08 -05 28 32.7,3.0,2.0,4230.0,4.61,0.807,2.0,2.997,1.04,F17,0.83,0.102,,0.0,0.0,0.0,0.0,0.000745,-10.0,,,14.198,0.026,12.182,0.035,11.19,0.023,,,,,,,,,,,,,,,,,,,,,
20,24,05 36 01.85 -05 17 36.5,3.0,1.0,4410.0,4.32,0.000137,2.0,2.656,0.014,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00062,-10.0,0.593,-10.0,10.752,0.019,10.093,0.032,9.905,0.016,9.751,0.026,9.908,0.029,,,,,,,,,,,,,,,,,
22,27,05 34 27.67 -05 37 19.2,3.0,1.0,3690.0,3.52,0.949,2.0,2.47,0.161,F17,1.0,-10.0,0.0252,0.019,0.001,-0.0963,0.0009,0.02516,7e-05,28.33,3.68,13.323,0.023,11.415,0.032,10.182,0.018,8.19,0.022,7.002,0.02,4.981,0.021,3.127,0.049,,,,,,,,,,,,,yes
23,28,05 35 01.38 -06 15 17.5,3.0,4.0,4430.0,4.63,0.0873,2.0,2.551,0.015,F17,0.826,0.0712,,0.0,0.0,0.0,0.0,0.0007,-10.0,0.726,-10.0,11.19,0.023,10.574,0.029,10.406,0.018,10.436,0.028,10.466,0.031,,,,,,,,,,,,,,,,,
24,29,05 35 11.21 -05 17 20.90,2.0,1.0,4100.0,4.33,0.514,2.0,2.483,0.07,F17,1.0,-10.0,0.00238,0.116,0.013,0.042,0.011,0.00243,8e-05,2.68,0.17,12.387,0.019,10.99,0.03,10.247,0.019,,,,,,,,,9.28,0.01,8.92,0.01,8.51,0.01,7.63,0.02,,,-0.95,D,
25,30,05 35 12.14 -05 31 38.8,3.0,1.0,3320.0,3.85,0.411,2.0,2.491,0.09,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000635,-10.0,0.697,-10.0,12.159,0.019,11.436,0.03,11.125,0.019,10.89,0.029,10.839,0.024,,,,,,,,,,,,,,,,,
26,31,05 35 12.36 -05 43 18.4,2.0,1.0,4340.0,4.29,0.0767,2.0,2.651,0.015,F17,1.0,-10.0,0.00335,0.1496,0.009,-0.136,0.007,0.003369,6.9e-05,3.24,0.08,11.194,0.019,10.461,0.028,10.252,0.018,9.938,0.022,9.526,0.021,6.899,0.031,5.192,0.071,9.56,0.01,9.46,0.01,8.81,0.01,7.87,0.01,5.03,0.01,-0.8,D,
28,33,05 35 17.55 -04 53 03.7,3.0,1.0,3670.0,3.93,0.204,2.0,2.672,0.134,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000755,-10.0,0.719,-10.0,13.199,0.023,11.922,0.031,11.353,0.017,10.77,0.028,10.664,0.025,7.291,0.088,,,,,,,,,,,,,,,
29,34,05 35 30.02 -04 34 27.6,0.0,1.0,3000.0,4.43,0.057,0.0,2.59,0.055,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00067,-10.0,0.675,-10.0,13.116,0.021,12.464,0.032,12.254,0.021,11.846,0.037,11.629,0.033,,,4.096,0.096,,,,,,,,,,,,,
30,35,05 35 43.11 -04 24 55.6,2.0,1.0,4240.0,4.43,0.504,2.0,2.53,0.02,F17,1.0,-10.0,0.0148,0.0161,0.002,-0.062,0.002,0.01472,6.9e-05,15.52,0.25,11.046,0.019,10.271,0.029,9.791,0.017,8.696,0.023,8.083,0.02,5.604,0.015,3.777,0.024,8.43,0.01,8.03,0.01,7.63,0.01,6.83,0.01,4.14,0.01,-1.0,D,
