,,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO,HCO+,Cloud contamination?
40,05 35 43.37 -06 22 19.5,2,4,3220,3.19,0.691,2,2.623,0.053,F17,0.948,0.0195,,0,0,0,0,5.80E-04,1.16E-04,0.569,-10,12.102,0.019,11.208,0.03,10.669,0.016,10.151,0.023,9.647,0.02,7.834,0.045,5.563,0.07,10.06,0.01,9.7,0.01,9.36,0.01,8.77,0.01,6.05,0.01,-1.36,D,,
41,05 36 17.23 -06 17 24.5,2,1,3070,4.41,0.064,2,2.555,-10,F17,1,-10,,0,0,0,0,6.55E-04,1.31E-04,0.678,-10,12.22,0.017,11.596,0.03,11.322,0.02,11.066,0.023,10.698,0.02,8.835,0.048,6.615,0.1,10.92,0.01,10.72,0.01,10.51,0.01,9.79,0.01,6.51,0.02,-1.55,D,,
42,05 37 01.0 -07 35 46.9,0,1,3150,5.16,0.318,2,12.602,0.031,F17,1,-10,,0,0,0,0,7.85E-04,1.57E-04,0.033,-10,,,,,,,10.199,0.023,10.042,0.021,9.888,0.065,,,,,,,,,,,,,,,,
43,05 37 11.61 -07 23 23.9,0,1,5060,4.64,0.0000749,2,2.517,0.013,F17,1,-10,,0,0,0,0,6.90E-04,1.38E-04,0.736,-10,10.82,0.019,10.455,0.021,10.385,0.019,10.298,0.024,10.348,0.021,9.781,0.061,,,,,,,,,,,,,,,,
44,05 38 01.6 -07 22 21.8,0,1,5080,5,0.0000716,1,4.417,0.065,F17,1,-10,,0,0,0,0,7.50E-04,1.50E-04,0.26,-10,10.499,0.017,10.009,0.022,9.916,0.022,9.86,0.023,9.921,0.02,9.305,0.045,,,,,,,,,,,,,,,,
45,05 40 20.47 -09 11 57.2,3,1,4680,4.53,0.566,2,2.453,0.02,F17,1,-10,,0,0,0,0,8.15E-04,1.63E-04,0.915,-10,11.949,0.019,11.358,0.024,11.249,0.021,11.087,0.023,11.126,0.02,,,,,,,,,,,,,,,,,,
46,05 40 55.3 -08 13 16.9,0,1,5450,5.28,0.137,1,3.013,0.014,F17,1,-10,,0,0,0,0,6.70E-04,1.34E-04,0.499,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,05 41 15.24 -07 52 11.1,0,1,4660,4.89,0.00029,2,2.943,0.019,F17,1,-10,,0,0,0,0,6.60E-04,1.32E-04,0.515,-10,12.235,0.019,11.656,0.025,11.529,0.022,11.452,0.023,11.499,0.022,,,,,,,,,,,,,,,,,,
48,05 41 30.37 -09 12 26.8,0,1,4040,5.09,0.138,2,4.464,0.026,F17,1,-10,,0,0,0,0,7.10E-04,1.42E-04,0.241,-10,12.283,0.019,11.567,0.02,11.377,0.019,11.281,0.024,11.204,0.021,,,,,,,,,,,,,,,,,,
49,05 41 33.38 -07 59 56.2,2,5,4080,4.19,0.447,2,3.158,0.263,F17,0.984,0.0245,0.00642,0.0597,0.005,-0.066,0.004,0.00653,0.00008,4.53,0.8,13.732,0.026,12.044,0.02,11.22,0.021,10.464,0.023,9.864,0.02,7.627,0.018,4.53,0.025,9.99,0.01,9.92,0.01,9.07,0.01,8.83,0.01,4.49,0.01,-1.32,D,,
